units,dropout_rate,learning_rate,val_loss
32,0.1,0.001,0.006416082847863436
32,0.1,0.01,0.0024902084842324257
32,0.2,0.001,0.004123728722333908
32,0.2,0.01,0.003084916155785322
64,0.1,0.001,0.004677239805459976
64,0.1,0.01,0.005025149788707495
64,0.2,0.001,0.004321994725614786
64,0.2,0.01,0.0029854464810341597
