epoch,rnn_loss,rnn_val_loss
1,0.034694693982601166,0.042310718446969986
2,0.008430783636868,0.020751968026161194
3,0.006709900684654713,0.014678534120321274
4,0.0057722725905478,0.014660102315247059
5,0.005093430634588003,0.008888551034033298
6,0.0043130978010594845,0.0055551789700984955
7,0.0041194637306034565,0.00602854136377573
8,0.00365448254160583,0.008654888719320297
9,0.0033738277852535248,0.0045392392203211784
10,0.0032498014625161886,0.0036384754348546267
11,0.003076147520914674,0.004925109446048737
12,0.0031096842139959335,0.004977494478225708
13,0.0027177350129932165,0.003549054032191634
14,0.0026071842294186354,0.006814700551331043
15,0.0026818912010639906,0.004087973386049271
16,0.0024174340069293976,0.003106512827798724
17,0.0024303810205310583,0.005515748169273138
18,0.0024344397243112326,0.0036461360286921263
19,0.00224286993034184,0.003158783772960305
20,0.0022331438958644867,0.003958339337259531
21,0.002086838474497199,0.002923681167885661
22,0.002099216217175126,0.005100401118397713
23,0.0019460024777799845,0.00464794272556901
24,0.002038222271949053,0.00486161420121789
25,0.0019498239271342754,0.0037111788988113403
26,0.0019015828147530556,0.003895568661391735
